Id,ParentId,Type,Name,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW,Visibility,IsCollapsed,IconPath,ScenePath,AlignToAabbCenter
7acd5132-0f8b-4ae7-826e-a0d06bbe5192,00000000-0000-0000-0000-000000000001,Any,7acd5132,209.9871424,186.5980651,172.1538605,0.32,-0.88,0.33,0.12,Inherit,FALSE,res://assets/icon/entity/instance.svg,,FALSE
68317706-95b6-4835-baab-0fa0e9ea2a59,7acd5132-0f8b-4ae7-826e-a0d06bbe5192,Any,68317706,-95.0840902,163.2820883,-123.6880684,-0.14,0.41,-0.71,0.55,Inherit,FALSE,res://assets/icon/entity/component.svg,,FALSE
a954ddae-d15a-4643-a536-efe9e567d96d,68317706-95b6-4835-baab-0fa0e9ea2a59,Any,a954ddae,137.8654948,-0.854243789,-225.1923631,0.91,0.3,0.18,-0.22,Inherit,FALSE,res://assets/icon/entity/hybridbody.svg,,FALSE
9820a076-f72c-4c0b-8a1a-818e29f1ed04,a954ddae-d15a-4643-a536-efe9e567d96d,Any,9820a076,245.5072545,-54.44889829,128.6816766,0.44,-0.17,0.42,0.77,Inherit,FALSE,res://assets/icon/entity/body.svg,,FALSE
ac980da0-6793-44f4-ae95-8723ab7582b2,9820a076-f72c-4c0b-8a1a-818e29f1ed04,Any,ac980da0,61.07688642,81.04147488,-30.85674574,-0.62,0.77,0.12,-0.03,Inherit,FALSE,res://assets/icon/entity/line.svg,,FALSE
4283051e-a243-489e-a3b4-6ec7489be16d,9820a076-f72c-4c0b-8a1a-818e29f1ed04,Any,4283051e,-71.17180434,82.27721863,212.9896799,0.5,0.16,0.7,0.48,Inherit,FALSE,res://assets/icon/entity/line.svg,,FALSE
e4f5cd0c-329d-4636-be81-f17640194773,9820a076-f72c-4c0b-8a1a-818e29f1ed04,Any,e4f5cd0c,169.8045946,170.6650488,106.6397342,0.03,-0.99,0.07,-0.11,Inherit,FALSE,res://assets/icon/entity/line.svg,,FALSE
fea4b389-df27-42bf-95ec-521ed62e191c,9820a076-f72c-4c0b-8a1a-818e29f1ed04,Any,fea4b389,-21.86467604,-150.917151,136.2037812,-0.78,0.52,0.11,0.33,Inherit,FALSE,res://assets/icon/entity/line.svg,,FALSE
b1e55947-4bcb-4a30-907f-207b3e9fb52e,9820a076-f72c-4c0b-8a1a-818e29f1ed04,Any,b1e55947,-87.54787421,125.3455676,244.9970582,0.14,0.63,-0.37,0.66,Inherit,FALSE,res://assets/icon/entity/line.svg,,FALSE
6fbe0d03-b991-4df4-9423-a088e081ff50,9820a076-f72c-4c0b-8a1a-818e29f1ed04,Any,6fbe0d03,-216.773965,23.58139297,-73.67713917,0.82,-0.09,0.37,-0.41,Inherit,FALSE,res://assets/icon/entity/line.svg,,FALSE
75e8b12a-6693-4aff-aba8-cc3ea713e270,9820a076-f72c-4c0b-8a1a-818e29f1ed04,Any,75e8b12a,-1.57017018,244.6975928,-187.6477696,-0.97,0.1,0.09,0.19,Inherit,FALSE,res://assets/icon/entity/line.svg,,FALSE
5b282939-2339-4215-80b1-2802c1d0fa4b,9820a076-f72c-4c0b-8a1a-818e29f1ed04,Any,5b282939,-222.8920369,198.9585621,224.8559567,0.25,-0.62,0.1,0.72,Inherit,FALSE,res://assets/icon/entity/line.svg,,FALSE
14ebb6b9-4dc6-4a2d-b7fd-7f3730f95c90,9820a076-f72c-4c0b-8a1a-818e29f1ed04,Any,14ebb6b9,-222.0812281,249.0793272,181.5700814,0.61,0.56,-0.1,-0.54,Inherit,FALSE,res://assets/icon/entity/line.svg,,FALSE
